Ranking,Player Name,Team,Designation,Points
148,Jacob Bethell,Royal Challengers Bengaluru,Allrounder,28.5
149,Trent Boult,Mumbai Indians,Bowler,27.0
150,Himmat Singh,Lucknow Super Giants,Batter,24.25
151,Krish Bhagat,Unknown,Unknown,22.45
152,Karun Nair,Delhi Capitals,Top order Batter,11.0
153,Shahbaz Ahmed,Lucknow Super Giants,Allrounder,9.2
154,Mayank Rawat,Mumbai Indians,Allrounder,5.0
155,Rahul Chahar,Chennai Super Kings,Bowler,4.2
156,Navdeep Saini,Kolkata Knight Riders,Bowler,2.4
157,Mayank Markande,Mumbai Indians,Bowler,2.2
158,Danish Malewar,Mumbai Indians,Top order Batter,2.0
159,Shivam Mavi,Sunrisers Hyderabad,Bowling Allrounder,0.0
160,Kwena Maphaka,Rajasthan Royals,Bowler,0.0
161,Tripurana Vijay,Delhi Capitals,Bowler,0.0
162,Kamindu Mendis,Sunrisers Hyderabad,Allrounder,0.0
163,Aman Khan,Chennai Super Kings,Allrounder,0.0
164,Tom Banton,Gujarat Titans,Wicketkeeper Batter,0.0
165,Kanishk Chouhan,Royal Challengers Bengaluru,Bowling Allrounder,0.0
166,Aman Rao,Rajasthan Royals,Opening Batter,0.0
167,Amit Kumar,Sunrisers Hyderabad,Bowler,0.0
168,Kyle Jamieson,Delhi Capitals,Bowler,0.0
169,Tejasvi Dahiya,Kolkata Knight Riders,Wicketkeeper Batter,0.0
170,Harnoor Singh,Punjab Kings,Batter,0.0
171,Swapnil Singh,Royal Challengers Bengaluru,Bowler,0.0
172,Krains Fuletra,Sunrisers Hyderabad,Bowling Allrounder,0.0
173,Akshat Raghuwanshi,Lucknow Super Giants,Middle order Batter,0.0
174,Sushant Mishra,Rajasthan Royals,Bowler,0.0
175,Suryansh Shedge,Punjab Kings,Allrounder,0.0
176,Kuldeep Sen,Rajasthan Royals,Bowler,0.0
177,Gurnoor Brar,Gujarat Titans,Bowler,0.0
178,Spencer Johnson,Chennai Super Kings,Bowler,0.0
179,Kulwant Khejroliya,Gujarat Titans,Bowler,0.0
180,Anuj Rawat,Gujarat Titans,Wicketkeeper Batter,0.0
181,Shreyas Gopal,Chennai Super Kings,Bowler,0.0
182,Dasun Shanaka,Rajasthan Royals,Allrounder,0.0
183,Umran Malik,Kolkata Knight Riders,Bowler,0.0
184,Harpreet Brar,Punjab Kings,Bowler,0.0
185,Wanindu Hasaranga,Lucknow Super Giants,Allrounder,0.0
186,Zak Foulkes,Chennai Super Kings,Allrounder,0.0
187,Jayant Yadav,Gujarat Titans,Bowler,0.0
188,Yudhvir Singh,Rajasthan Royals,Bowler,0.0
189,Ishant Sharma,Gujarat Titans,Bowler,0.0
190,Yash Thakur,Punjab Kings,Bowler,0.0
191,Jordan Cox,Royal Challengers Bengaluru,Wicketkeeper Batter,0.0
192,Yash Dayal,Royal Challengers Bengaluru,Bowler,0.0
193,Abishek Porel,Delhi Capitals,Wicketkeeper Batter,0.0
194,Will Jacks,Mumbai Indians,Allrounder,0.0
195,Adam Milne,Rajasthan Royals,Bowler,0.0
196,Vishnu Vinod,Punjab Kings,Wicketkeeper Batter,0.0
197,Urvil Patel,Chennai Super Kings,Wicketkeeper Batter,0.0
198,Vishal Nishad,Punjab Kings,Bowler,0.0
199,Ajay Mandal,Delhi Capitals,Allrounder,0.0
200,Harshit Rana,Unknown,Unknown,0.0
201,Josh Inglis,Lucknow Super Giants,Wicketkeeper Batter,0.0
202,Vihaan Malhotra,Royal Challengers Bengaluru,Allrounder,0.0
203,Vignesh Puthur,Rajasthan Royals,Bowler,0.0
204,Vicky Ostwal,Royal Challengers Bengaluru,Bowler,0.0
205,Akash Deep,Unknown,Unknown,0.0
206,Akash Madhwal,Unknown,Unknown,0.0
207,Akash Singh,Lucknow Super Giants,Bowler,0.0
208,Lockie Ferguson,Punjab Kings,Bowler,0.0
209,Arjun Tendulkar,Lucknow Super Giants,Bowler,0.0
210,Luke Wood,Gujarat Titans,Bowler,0.0
211,MS Dhoni,Chennai Super Kings,Wicketkeeper Batter,0.0
212,Azmatullah Omarzai,Punjab Kings,Allrounder,0.0
213,Musheer Khan,Punjab Kings,Allrounder,0.0
214,Ben Duckett,Unknown,Unknown,0.0
215,Naman Tiwari,Lucknow Super Giants,Bowler,0.0
216,Ramakrishna Ghosh,Chennai Super Kings,Bowling Allrounder,0.0
217,Ben Dwarshuis,Punjab Kings,Bowler,0.0
218,Raj Bawa,Mumbai Indians,Allrounder,0.0
219,Rahul Tripathi,Kolkata Knight Riders,Top order Batter,0.0
220,Nathan Ellis,Unknown,Unknown,0.0
221,Jack Edwards,Unknown,Unknown,0.0
222,Raghu Sharma,Mumbai Indians,Bowler,0.0
223,Rachin Ravindra,Kolkata Knight Riders,Allrounder,0.0
224,Pyla Avinash,Punjab Kings,Batter,0.0
225,Nishant Sindhu,Gujarat Titans,Allrounder,0.0
226,Prithvi Shaw,Delhi Capitals,Opening Batter,0.0
227,Prithvi Raj,Unknown,Unknown,0.0
228,Brydon Carse,Sunrisers Hyderabad,Bowling Allrounder,0.0
229,Praveen Dubey,Punjab Kings,Bowler,0.0
230,Connor Esterhuizen,Unknown,Unknown,0.0
231,Nuwan Thushara,Royal Challengers Bengaluru,Bowler,0.0
232,Prashant Solanki,Kolkata Knight Riders,Bowler,0.0
233,Onkar Tarmale,Sunrisers Hyderabad,Bowler,0.0
234,Daksh Kamra,Kolkata Knight Riders,Allrounder,0.0
235,Ravi Singh,Rajasthan Royals,Middle order Batter,0.0
236,Ravichandran Smaran,Sunrisers Hyderabad,Batter,0.0
237,Dushmantha Chameera,Delhi Capitals,Bowler,0.0
238,Rehan Ahmed,Unknown,Unknown,0.0
239,Saurabh Dubey,Kolkata Knight Riders,Bowler,0.0
240,Satvik Deswal,Royal Challengers Bengaluru,Bowler,0.0
241,Sarthak Ranjan,Kolkata Knight Riders,Opening Batter,0.0
242,Arshad Khan,Gujarat Titans,Bowler,0.0
243,Arshin Kulkarni,Lucknow Super Giants,Allrounder,0.0
244,Madhav Tiwari,Delhi Capitals,Allrounder,0.0
245,Mangesh Yadav,Royal Challengers Bengaluru,Allrounder,0.0
246,Sam Curran,Unknown,Unknown,0.0
247,Manish Pandey,Kolkata Knight Riders,Top order Batter,0.0
248,Atharva Ankolekar,Unknown,Unknown,0.0
249,Zeeshan Ansari,Sunrisers Hyderabad,Bowler,0.0
250,Sai Kishore,Gujarat Titans,Bowler,0.0
251,Sahil Parakh,Delhi Capitals,Top order Batter,0.0
